Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,46.71%,50.67%,61.71%,47.97%,55.12,0.2236,0.2918,0.114,0.162,0.87,0.812
2,0.35,0.22,NO,N/A,40.49%,46.09%,55.61%,43.82%,51.0,0.1832,0.2808,0.085,0.13,0.902,0.849
3,0.3,0.16,NO,N/A,32.36%,31.79%,51.62%,30.54%,48.04,0.1467,0.2602,0.057,0.119,0.934,0.862
4,0.29,0.04,NO,N/A,26.55%,27.31%,43.16%,25.27%,41.31,0.1152,0.1974,0.037,0.089,0.958,0.897
5,0.28,0.02,NO,N/A,20.84%,22.42%,31.42%,20.71%,28.67,0.0949,0.1651,0.022,0.042,0.975,0.953
6,0.25,-0.04,NO,N/A,17.18%,20.48%,26.43%,18.22%,23.6,0.0805,0.1538,0.015,0.028,0.982,0.966
7,0.23,-0.3,NO,N/A,15.95%,18.0%,25.04%,16.77%,24.1,0.0737,0.134,0.013,0.029,0.985,0.965
8,0.18,-0.24,NO,N/A,14.81%,15.0%,25.16%,14.34%,26.22,0.0734,0.1374,0.012,0.035,0.986,0.958
9,0.16,-0.23,NO,N/A,12.92%,14.87%,24.2%,12.88%,20.15,0.0567,0.1047,0.008,0.019,0.99,0.978
10,0.14,-0.23,NO,N/A,13.95%,14.46%,24.64%,12.06%,25.81,0.0682,0.129,0.01,0.033,0.988,0.961
